,restaurant_id,Name,Rating,cusines,delivery_review_number,location,Longitude,Latitude,Restaurant_link,price_for_one
0,1,Itminaan Matka Biryani - Slow Cooked,4.0,"Biryani, North Indian, Desserts",64,Ulsoor,77.6246697,12.9778793,https://www.zomato.com/bangalore/itminaan-matka-biryani-slow-cooked-ulsoor-bangalore/order,250
1,2,Chicking,3.7,"Fast Food, Burger, Pizza",622,Rajajinagar,77.554883,12.9882338,https://www.zomato.com/bangalore/chicking-1-rajajinagar-bangalore/order,200
2,3,Ludos Pizza,4.0,"Pizza, Fast Food, Desserts, Beverages",152,Marathahalli,77.6984163,12.9552572,https://www.zomato.com/bangalore/ludos-pizza-2-marathahalli-bangalore/order,300
3,4,Auntie Fung's,4.0,"Asian, Thai, Vietnamese, Japanese, Indonesian, Chinese, Korean, Burmese",1491,Indiranagar,77.6404672,12.9732913,https://www.zomato.com/bangalore/auntie-fungs-indiranagar-bangalore/order,300
4,5,Burgers And Shakes,4.0,"Burger, Sandwich, Fast Food, Shake, Beverages",18,Indiranagar,77.6404672,12.9732913,https://www.zomato.com/bangalore/burgers-and-shakes-indiranagar-bangalore/order,100
5,6,Chikmagalur Coffee Thindi Mane,4.1,"South Indian, Beverages",1390,Bommasandra,77.6916113,12.8162443,https://www.zomato.com/bangalore/chikmagalur-coffee-thindi-mane-bommasandra-bangalore/order,75
6,7,Kurtosshhh,4.2,"Desserts, Fast Food, Beverages",340,Whitefield,77.7497448,12.9696365,https://www.zomato.com/bangalore/kurtosshhh-whitefield-bangalore/order,250
7,8,Laali Da Dhaba,3.8,"North Indian, BBQ",49,Indiranagar,77.6404672,12.9732913,https://www.zomato.com/bangalore/laali-da-dhaba-indiranagar-bangalore/order,250
8,9,WOW! Momo,4.2,"Momos, Fast Food, Tibetan",405,Magadi Road,77.5553564,12.975608,https://www.zomato.com/bangalore/wow-momo-1-magadi-road-bangalore/order,200
9,10,Mega Biryani,4.0,Biryani,4,New BEL Road,77.564105,13.0393922,https://www.zomato.com/bangalore/mega-biryani-1-new-bel-road-bangalore/order,100
10,11,Toastymos,0.0,"Street Food, Momos, Beverages",5,City Market,77.57627054,12.965718,https://www.zomato.com/bangalore/toastymos-city-market-bangalore/order,150
11,12,Dot.yum - Aloft Hotel,0.0,"North Indian, Continental, BBQ, Desserts, Beverages",11,Aloft Hotel,77.73264894,12.99032095,https://www.zomato.com/bangalore/dot-yum-aloft-hotel-whitefield/order,1000
12,13,Pot Biryani,3.7,"North Indian, Chinese, Biryani",734,Nagawara,77.6209093,13.0431413,https://www.zomato.com/bangalore/pot-biryani-nagawara-bangalore/order,200
13,14,Biryani By Kilo,4.1,"Biryani, Hyderabadi, North Indian, Kebab, Mughlai, Desserts",2829,Koramangala 6th Block,77.6238477,12.9390255,https://www.zomato.com/bangalore/biryani-by-kilo-koramangala-6th-block-bangalore/order,350
14,15,Kapoor's Cafe,4.0,"North Indian, Beverages, Desserts",4088,Kalyan Nagar,77.6403368,13.0221416,https://www.zomato.com/bangalore/kapoors-cafe-kalyan-nagar/order,350
15,16,The Kitchen Story,3.5,"North Indian, Chinese, Fast Food, Beverages, Shake, Sichuan",1793,HSR,77.6398674,12.9092342,https://www.zomato.com/bangalore/the-kitchen-story-hsr-bangalore/order,150
16,17,Happy Platter,4.0,"Chinese, North Indian, Rolls, Fast Food",2560,Rajajinagar,77.554883,12.9882338,https://www.zomato.com/bangalore/happy-platter-rajajinagar-bangalore/order,200
17,18,That Bangalore Place,4.1,"North Indian, Chinese",4037,ITPL Main Road,77.7272748,12.9805104,https://www.zomato.com/bangalore/that-bangalore-place-itpl-main-road-whitefield-bangalore/order,150
18,19,Thakkali Kitchen,3.9,"South Indian, Rolls, North Indian, Chinese, Biryani, Seafood",609,Bommanahalli,77.6239038,12.9089453,https://www.zomato.com/bangalore/thakkali-kitchen-bommanahalli-bangalore/order,150
19,20,Kalpataru Hotel,0.0,"South Indian, Chinese, Biryani",3,Bannerghatta Road,77.6041899,12.9521804,https://www.zomato.com/bangalore/kalpataru-hotel-1-bannerghatta-road-bangalore/order,150
20,21,Begum's Authentic Hyderabadi Kitchen,4.0,Hyderabadi,59,Richmond Road,77.6068229,12.9662452,https://www.zomato.com/bangalore/begums-authentic-hyderabadi-kitchen-richmond-road-bangalore/order,300
21,22,New Guru Nalapaka,3.7,"South Indian, North Indian, Chinese",377,KR Puram,77.695935,13.007516,https://www.zomato.com/bangalore/new-guru-nalapaka-kr-puram-bangalore/order,150
22,23,Lassi Shop,3.9,"Sandwich, Pizza, Burger, Beverages, Ice Cream, Desserts",6,BTM,77.60456543,12.91127585,https://www.zomato.com/bangalore/lassi-shop-6-btm-bangalore/order,175
23,24,Salem Kitchen,3.8,"Chettinad, Chinese, South Indian, Mughlai, Biryani, Sichuan",147,Brookefield,77.7168891,12.9668213,https://www.zomato.com/bangalore/salem-kitchen-brookefield/order,250
