Restaurant,Cusines_all,price_for_one,delivery_review_number,location
Itminaan Matka Biryani - Slow Cooked,Biryani,250,64,"ulsoor, bangalore"
Itminaan Matka Biryani - Slow Cooked,Biryani,350,64,"ulsoor, bangalore"
Chicking,Fast Food,200,622,"rajajinagar, bangalore"
Ludos Pizza,Pizza,300,152,"marathahalli, bangalore"
Auntie Fung's,Asian,300,1491,"indiranagar, bangalore"
Burgers And Shakes,Burger,100,18,"indiranagar, bangalore"
Chikmagalur Coffee Thindi Mane,South Indian,75,1390,"bommasandra, bangalore"
Kurtosshhh,Desserts,250,340,"whitefield, bangalore"
Laali Da Dhaba,North Indian,250,49,"indiranagar, bangalore"
WOW! Momo,Momos,200,405,"magadi road, bangalore"
Mega Biryani,Biryani,100,4,"new bel road, bangalore"
Mega Biryani,Biryani,200,4,"new bel road, bangalore"
Toastymos,Street Food,150,5,"city market, bangalore"
Dot.yum - Aloft Hotel,North Indian,1000,11,"aloft hotel, whitefield, bangalore"
Pot Biryani,North Indian,200,734,"nagawara, bangalore"
Pot Biryani,North Indian,225,734,"nagawara, bangalore"
Biryani By Kilo,Biryani,350,2829,"koramangala 6th block, bangalore"
Biryani By Kilo,Biryani,400,2829,"koramangala 6th block, bangalore"
Kapoor's Cafe,North Indian,350,4088,"kalyan nagar, bangalore"
The Kitchen Story,North Indian,150,1793,"hsr, bangalore"
Happy Platter,Chinese,200,2560,"rajajinagar, bangalore"
That Bangalore Place,North Indian,150,4037,"itpl main road, whitefield, bangalore"
Thakkali Kitchen,South Indian,150,609,"bommanahalli, bangalore"
Kalpataru Hotel,South Indian,150,3,"bannerghatta road, bangalore"
Begum's Authentic Hyderabadi Kitchen,Hyderabadi,300,59,"richmond road, bangalore"
New Guru Nalapaka,South Indian,150,377,"kr puram, bangalore"
Lassi Shop,Sandwich,175,6,"btm, bangalore"
Lassi Shop,Sandwich,100,6,"btm, bangalore"
Lassi Shop,Sandwich,150,6,"btm, bangalore"
Lassi Shop,Sandwich,125,6,"btm, bangalore"
Salem Kitchen,Chettinad,250,147,"brookefield, bangalore"
A1 Chicken Biryani Point,Biryani,150,1,"rt nagar, bangalore"
Hiyar Majhe Kolkata,Bengali,150,3758,"electronic city, bangalore"
Hiyar Majhe Kolkata,Bengali,250,3758,"electronic city, bangalore"
Potful - Claypot Biryanis,Biryani,350,5237,"koramangala 1st block, bangalore"
Hakka Box,Chinese,250,328,"hebbal, bangalore"
Cake Bite,Bakery,200,341,"jayanagar, bangalore"
Cake Bite,Bakery,150,341,"jayanagar, bangalore"
Aarya Home Made,North Indian,200,0,"marathahalli, bangalore"
Sanchez,Mexican,1100,278,"ub city, bangalore"
Sardar Ji Ka Dhaba,North Indian,300,0,"marathahalli, bangalore"
Cake Boutique,Bakery,400,0,"jalahalli, bangalore"
Veruthe Oru Thattukada,Kerala,150,2861,"bannerghatta road, bangalore"
Bhartiya Jalpan,North Indian,350,2005,"commercial street, bangalore"
Champaran Meat House,North Indian,150,1476,"hsr, bangalore"
Kwality Wall’s Frozen Dessert And Ice Cream Shop,Ice Cream,100,301,"marathahalli, bangalore"
The Masala Bay Leaf,North Indian,150,50,"kalyan nagar, bangalore"
Slurpy Shakes,Beverages,200,678,"kalyan nagar, bangalore"
Slurpy Shakes,Beverages,250,678,"kalyan nagar, bangalore"
EatFit,Healthy Food,200,1516,"cunningham road, bangalore"
Chai Point,North Indian,200,3916,"banashankari, bangalore"
Chai Point,North Indian,275,3916,"banashankari, bangalore"
Chai Point,North Indian,150,3916,"banashankari, bangalore"
Chai Point,North Indian,125,3916,"banashankari, bangalore"
New Cake Of The Day,Bakery,125,36,"sanjay nagar, bangalore"
Taste Of Malabar,Kerala,150,155,"new bel road, bangalore"
EasyBites by Empire,Burger,100,1787,"koramangala 5th block, bangalore"
EasyBites by Empire,Burger,200,1787,"koramangala 5th block, bangalore"
Kanti Sweets,Mithai,50,3154,"indiranagar, bangalore"
Kanti Sweets,Mithai,200,3154,"indiranagar, bangalore"
Kanti Sweets,Mithai,225,3154,"indiranagar, bangalore"
Patiala NH 44,North Indian,400,746,"basavanagudi, bangalore"
SLAY Coffee,Coffee,200,1426,"kammanahalli, bangalore"
Biryani Trip - Destination Hyderabad,Biryani,300,2429,"koramangala 6th block, bangalore"
Pizza Paradise,Pizza,150,43,"jalahalli, bangalore"
Masti Masala,North Indian,250,5023,"rajajinagar, bangalore"
Third Wave Coffee,Cafe,250,366,"bannerghatta road, bangalore"
Third Wave Coffee,Cafe,200,366,"bannerghatta road, bangalore"
Third Wave Coffee,Cafe,400,366,"bannerghatta road, bangalore"
Cookie Man,Bakery,150,361,"vega city, bannerghatta road, bangalore"
Cookie Man,Bakery,200,361,"vega city, bannerghatta road, bangalore"
Burgers@59,Burger,100,54,"whitefield, bangalore"
The Bangalore Bakery,Cafe,250,27,"malleshwaram, bangalore"
Sri Ruchi Restuarant,Street Food,200,6582,"banaswadi, bangalore"
Hokart - Kolkata Kati King Rolls And Momos,Rolls,150,16,"btm, bangalore"
Shaap,Kerala,250,1624,"indiranagar, bangalore"
House Of Juice,Juices,150,225,"varthur main road, whitefield, bangalore"
Rolls On Wheels,Rolls,150,3207,"hsr, bangalore"
New Shiva Sagar,South Indian,100,122,"sarjapur road, bangalore"
Golden Chaats,Street Food,100,92,"sarjapur road, bangalore"
Srinidhi Upachar,South Indian,150,636,"banaswadi, bangalore"
Punjabi Paratha Center,North Indian,150,67,"thippasandra, bangalore"
Cheesecakes By CakeZone,Bakery,250,3,"banashankari, bangalore"
Haka,Chinese,300,506,"electronic city, bangalore"
MDP Coffee House,South Indian,100,3895,"electronic city, bangalore"
MDP Coffee House,South Indian,50,3895,"electronic city, bangalore"
Bombay 99 Variety Dosa And Juice,South Indian,150,3,"btm, bangalore"
Texas Burgers,Burger,200,3239,"bommanahalli, bangalore"
Pork@Night,North Indian,250,77,"whitefield, bangalore"
Bismillah Hotel,Biryani,200,7,"hsr, bangalore"
Bismillah Hotel,Biryani,100,7,"hsr, bangalore"
California Burrito,Mexican,150,3660,"sigma mall, cunningham road, bangalore"
Drooling Delight Restaurant,North Indian,150,22,"electronic city, bangalore"
Dande's Hyderabad Biryani,Andhra,200,682,"new bel road, bangalore"
Gudbud,Ice Cream,150,4220,"ejipura, bangalore"
Godavari Tales,Biryani,300,248,"brookefield, bangalore"
