,Restaurant,Cusines_all,price_for_one,delivery_review_number,location
0,Itminaan Matka Biryani - Slow Cooked,Biryani,250,64,"ulsoor, bangalore"
8,Itminaan Matka Biryani - Slow Cooked,Biryani,350,64,"ulsoor, bangalore"
19,Chicking,Fast Food,200,622,"rajajinagar, bangalore"
29,Ludos Pizza,Pizza,300,152,"marathahalli, bangalore"
39,Auntie Fung's,Asian,300,1491,"indiranagar, bangalore"
48,Burgers And Shakes,Burger,100,18,"indiranagar, bangalore"
49,Chikmagalur Coffee Thindi Mane,South Indian,75,1390,"bommasandra, bangalore"
50,Kurtosshhh,Desserts,250,340,"whitefield, bangalore"
51,Laali Da Dhaba,North Indian,250,49,"indiranagar, bangalore"
54,WOW! Momo,Momos,200,405,"magadi road, bangalore"
73,Mega Biryani,Biryani,100,4,"new bel road, bangalore"
74,Mega Biryani,Biryani,200,4,"new bel road, bangalore"
89,Toastymos,Street Food,150,5,"city market, bangalore"
90,Dot.yum - Aloft Hotel,North Indian,1000,11,"aloft hotel, whitefield, bangalore"
91,Pot Biryani,North Indian,200,734,"nagawara, bangalore"
92,Pot Biryani,North Indian,225,734,"nagawara, bangalore"
93,Biryani By Kilo,Biryani,350,2829,"koramangala 6th block, bangalore"
94,Biryani By Kilo,Biryani,400,2829,"koramangala 6th block, bangalore"
102,Kapoor's Cafe,North Indian,350,4088,"kalyan nagar, bangalore"
108,The Kitchen Story,North Indian,150,1793,"hsr, bangalore"
109,Happy Platter,Chinese,200,2560,"rajajinagar, bangalore"
110,That Bangalore Place,North Indian,150,4037,"itpl main road, whitefield, bangalore"
111,Thakkali Kitchen,South Indian,150,609,"bommanahalli, bangalore"
112,Kalpataru Hotel,South Indian,150,3,"bannerghatta road, bangalore"
113,Begum's Authentic Hyderabadi Kitchen,Hyderabadi,300,59,"richmond road, bangalore"
114,New Guru Nalapaka,South Indian,150,377,"kr puram, bangalore"
115,Lassi Shop,Sandwich,175,6,"btm, bangalore"
116,Lassi Shop,Sandwich,100,6,"btm, bangalore"
118,Lassi Shop,Sandwich,150,6,"btm, bangalore"
133,Lassi Shop,Sandwich,125,6,"btm, bangalore"
134,Salem Kitchen,Chettinad,250,147,"brookefield, bangalore"
135,A1 Chicken Biryani Point,Biryani,150,1,"rt nagar, bangalore"
136,Hiyar Majhe Kolkata,Bengali,150,3758,"electronic city, bangalore"
137,Hiyar Majhe Kolkata,Bengali,250,3758,"electronic city, bangalore"
138,Potful - Claypot Biryanis,Biryani,350,5237,"koramangala 1st block, bangalore"
148,Hakka Box,Chinese,250,328,"hebbal, bangalore"
150,Cake Bite,Bakery,200,341,"jayanagar, bangalore"
151,Cake Bite,Bakery,150,341,"jayanagar, bangalore"
152,Aarya Home Made,North Indian,200,0,"marathahalli, bangalore"
153,Sanchez,Mexican,1100,278,"ub city, bangalore"
154,Sardar Ji Ka Dhaba,North Indian,300,0,"marathahalli, bangalore"
155,Cake Boutique,Bakery,400,0,"jalahalli, bangalore"
156,Veruthe Oru Thattukada,Kerala,150,2861,"bannerghatta road, bangalore"
157,Bhartiya Jalpan,North Indian,350,2005,"commercial street, bangalore"
160,Champaran Meat House,North Indian,150,1476,"hsr, bangalore"
161,Kwality Wall’s Frozen Dessert And Ice Cream Shop,Ice Cream,100,301,"marathahalli, bangalore"
165,The Masala Bay Leaf,North Indian,150,50,"kalyan nagar, bangalore"
185,Slurpy Shakes,Beverages,200,678,"kalyan nagar, bangalore"
194,Slurpy Shakes,Beverages,250,678,"kalyan nagar, bangalore"
195,EatFit,Healthy Food,200,1516,"cunningham road, bangalore"
209,Chai Point,North Indian,200,3916,"banashankari, bangalore"
210,Chai Point,North Indian,275,3916,"banashankari, bangalore"
213,Chai Point,North Indian,150,3916,"banashankari, bangalore"
218,Chai Point,North Indian,125,3916,"banashankari, bangalore"
229,New Cake Of The Day,Bakery,125,36,"sanjay nagar, bangalore"
230,Taste Of Malabar,Kerala,150,155,"new bel road, bangalore"
233,EasyBites by Empire,Burger,100,1787,"koramangala 5th block, bangalore"
236,EasyBites by Empire,Burger,200,1787,"koramangala 5th block, bangalore"
239,Kanti Sweets,Mithai,50,3154,"indiranagar, bangalore"
241,Kanti Sweets,Mithai,200,3154,"indiranagar, bangalore"
248,Kanti Sweets,Mithai,225,3154,"indiranagar, bangalore"
262,Patiala NH 44,North Indian,400,746,"basavanagudi, bangalore"
263,SLAY Coffee,Coffee,200,1426,"kammanahalli, bangalore"
276,Biryani Trip - Destination Hyderabad,Biryani,300,2429,"koramangala 6th block, bangalore"
293,Pizza Paradise,Pizza,150,43,"jalahalli, bangalore"
294,Masti Masala,North Indian,250,5023,"rajajinagar, bangalore"
295,Third Wave Coffee,Cafe,250,366,"bannerghatta road, bangalore"
296,Third Wave Coffee,Cafe,200,366,"bannerghatta road, bangalore"
302,Third Wave Coffee,Cafe,400,366,"bannerghatta road, bangalore"
309,Cookie Man,Bakery,150,361,"vega city, bannerghatta road, bangalore"
310,Cookie Man,Bakery,200,361,"vega city, bannerghatta road, bangalore"
315,Burgers@59,Burger,100,54,"whitefield, bangalore"
316,The Bangalore Bakery,Cafe,250,27,"malleshwaram, bangalore"
317,Sri Ruchi Restuarant,Street Food,200,6582,"banaswadi, bangalore"
318,Hokart - Kolkata Kati King Rolls And Momos,Rolls,150,16,"btm, bangalore"
319,Shaap,Kerala,250,1624,"indiranagar, bangalore"
320,House Of Juice,Juices,150,225,"varthur main road, whitefield, bangalore"
323,Rolls On Wheels,Rolls,150,3207,"hsr, bangalore"
333,New Shiva Sagar,South Indian,100,122,"sarjapur road, bangalore"
334,Golden Chaats,Street Food,100,92,"sarjapur road, bangalore"
335,Srinidhi Upachar,South Indian,150,636,"banaswadi, bangalore"
337,Punjabi Paratha Center,North Indian,150,67,"thippasandra, bangalore"
338,Cheesecakes By CakeZone,Bakery,250,3,"banashankari, bangalore"
348,Haka,Chinese,300,506,"electronic city, bangalore"
356,MDP Coffee House,South Indian,100,3895,"electronic city, bangalore"
357,MDP Coffee House,South Indian,50,3895,"electronic city, bangalore"
358,Bombay 99 Variety Dosa And Juice,South Indian,150,3,"btm, bangalore"
359,Texas Burgers,Burger,200,3239,"bommanahalli, bangalore"
362,Pork@Night,North Indian,250,77,"whitefield, bangalore"
363,Bismillah Hotel,Biryani,200,7,"hsr, bangalore"
364,Bismillah Hotel,Biryani,100,7,"hsr, bangalore"
365,California Burrito,Mexican,150,3660,"sigma mall, cunningham road, bangalore"
379,Drooling Delight Restaurant,North Indian,150,22,"electronic city, bangalore"
380,Dande's Hyderabad Biryani,Andhra,200,682,"new bel road, bangalore"
389,Gudbud,Ice Cream,150,4220,"ejipura, bangalore"
390,Godavari Tales,Biryani,300,248,"brookefield, bangalore"
391,Chhotu Chai Point,Street Food,100,38,"banaswadi, bangalore"
392,Basmati Biriyani Nation,Biryani,200,8419,"whitefield, bangalore"
402,KFC,Burger,200,14400,"marathahalli, bangalore"
420,KFC,Burger,250,14400,"marathahalli, bangalore"
423,Pork Dine Out,North Indian,200,104,"whitefield, bangalore"
424,FreshMenu,Continental,250,21900,"bellandur, bangalore"
438,Mani's Dum Biryani,Biryani,375,10800,"koramangala 5th block, bangalore"
447,Mani's Dum Biryani,Biryani,300,10800,"koramangala 5th block, bangalore"
448,Truffles,Burger,450,1945,"new bel road, bangalore"
449,Truffles,Burger,200,1945,"new bel road, bangalore"
457,LeanCrust Pizza- ThinCrust Experts,Pizza,400,327,"banashankari, bangalore"
476,New Krishna Sagar,South Indian,150,23600,"jakkur, bangalore"
477,New Krishna Sagar,South Indian,275,23600,"jakkur, bangalore"
479,Saffron Vegetarian Cuisine,North Indian,350,2446,"banaswadi, bangalore"
488,Desserted,Cafe,375,90,"vasanth nagar, bangalore"
489,Tummy Full,South Indian,100,945,"whitefield, bangalore"
490,Mahadev Sweets & Chaats,Mithai,100,928,"hebbal, bangalore"
491,Yummy Momos,Momos,150,377,"kaggadasapura, bangalore"
492,Zomoz - The Momo Company,Momos,200,746,"sarjapur road, bangalore"
504,Parampara - The Veg Kitchen,North Indian,175,4020,"electronic city, bangalore"
505,Krispy Kreme,Desserts,200,888,"richmond road, bangalore"
517,Lakshmi Refreshments,South Indian,50,16,"electronic city, bangalore"
518,All Day Breakfast,South Indian,150,8,"koramangala 1st block, bangalore"
519,Donne Biriyani Angadi Mane,South Indian,125,3065,"rajajinagar, bangalore"
520,Raaj's Dakshin Ruchi,South Indian,100,35,"rajajinagar, bangalore"
521,Absolute Shawarma,Lebanese,100,1244,"kumaraswamy layout, bangalore"
523,Absolute Shawarma,Lebanese,150,1244,"kumaraswamy layout, bangalore"
528,Domino's Pizza,Pizza,200,1965,"mg road, bangalore"
549,Express By ABs,North Indian,400,361,"yeshwantpur, bangalore"
551,Express By ABs,North Indian,200,361,"yeshwantpur, bangalore"
552,Express By ABs,North Indian,350,361,"yeshwantpur, bangalore"
556,The Twenty Handmade Chocolates,Desserts,150,40,"jp nagar, bangalore"
560,Swathi Restaurant,Mangalorean,175,2491,"jp nagar, bangalore"
561,Swathi Restaurant,Mangalorean,150,2491,"jp nagar, bangalore"
562,Bramhin's Homely Foods,South Indian,100,8,"bannerghatta road, bangalore"
563,Hasanamba Benne Dose,South Indian,50,0,"sahakara nagar, bangalore"
564,Amazing Kati Rolls 'N' More,Rolls,150,1754,"btm, bangalore"
565,The Old Champaran Meat House,North Indian,200,394,"bommanahalli, bangalore"
566,Tandoori Cha,Street Food,75,63,"bommasandra, bangalore"
567,Gilly's Restobar,North Indian,750,67,"bannerghatta road, bangalore"
568,Gilly's Restobar,North Indian,800,67,"bannerghatta road, bangalore"
569,Gilly's Restobar,North Indian,725,67,"bannerghatta road, bangalore"
570,Gilly's Restobar,North Indian,700,67,"bannerghatta road, bangalore"
571,Sankalp Reddy Restaurant,South Indian,150,5217,"electronic city, bangalore"
572,Aliyans Cafe,South Indian,100,527,"peenya, bangalore"
573,Odia Dine,North Indian,150,7382,"old airport road, bangalore"
574,Momoz,Chinese,250,1017,"jeevan bhima nagar, bangalore"
575,Momoz,Chinese,400,1017,"jeevan bhima nagar, bangalore"
580,Sundae Everyday Ice Creams,Ice Cream,150,229,"brookefield, bangalore"
591,Sreeraj Lassi Bar,Beverages,150,241,"wilson garden, bangalore"
593,Sreeraj Lassi Bar,Beverages,100,241,"wilson garden, bangalore"
598,Sreeraj Lassi Bar,Beverages,50,241,"wilson garden, bangalore"
600,Nandhini Deluxe,Andhra,400,3165,"jayanagar, bangalore"
601,Nandhini Deluxe,Andhra,250,3165,"jayanagar, bangalore"
602,Nandhini Deluxe,Andhra,600,3165,"jayanagar, bangalore"
610,Nammura Donne Biriyani,Biryani,200,1611,"btm, bangalore"
611,Nammura Donne Biriyani,Biryani,150,1611,"btm, bangalore"
612,Punjabi Unplugged,North Indian,150,1193,"whitefield, bangalore"
614,Punjabi Unplugged,North Indian,375,1193,"whitefield, bangalore"
617,Pizzaaj,Pizza,250,298,"indiranagar, bangalore"
618,Dhanush Miltry Hotel,Biryani,100,15,"magadi road, bangalore"
619,Glen's Bakehouse,Bakery,400,2343,"sanjay nagar, bangalore"
626,Sri Vinayaka Suger Can Juice Center,Juices,100,21,"electronic city, bangalore"
627,Burger Man,Burger,150,227,"yelahanka, bangalore"
628,Burger Man,Burger,100,227,"yelahanka, bangalore"
629,Diwali Specials By CakeZone - Pure Veg,Bakery,150,25,"btm, bangalore"
637,Hokart - Mumbai 99 variety Dosa And Pav Bhaji,South Indian,125,0,"kalyan nagar, bangalore"
638,Pancakes By Knight Bite,Desserts,150,31,"marathahalli, bangalore"
639,Gelatissimo,Ice Cream,250,31,"kalyan nagar, bangalore"
640,Burger It Up,Burger,250,40,"yeshwantpur, bangalore"
654,Rajasthani Bhojan,Rajasthani,100,219,"rajajinagar, bangalore"
669,Pattegar Donne Biriyani,Chinese,200,246,"vijay nagar, bangalore"
670,Ninan's Steak House,Steak,200,33,"bommanahalli, bangalore"
671,"Frozen Bottle - Milkshakes, Desserts and Ice Cream",Beverages,250,3499,"koramangala 5th block, bangalore"
674,"Frozen Bottle - Milkshakes, Desserts and Ice Cream",Beverages,175,3499,"koramangala 5th block, bangalore"
682,Gullu's Chat,Fast Food,125,8049,"seshadripuram, bangalore"
683,Schezwan Hub,Chinese,200,268,"electronic city, bangalore"
692,Donne Biryani House,Biryani,150,1706,"btm, bangalore"
695,Donne Biryani House,Biryani,200,1706,"btm, bangalore"
696,Naati Adda,South Indian,225,0,"electronic city, bangalore"
697,Burgers Kingdom,Burger,150,1965,"banaswadi, bangalore"
699,CupCake Noggins By CakeZone,Bakery,150,31,"electronic city, bangalore"
703,CupCake Noggins By CakeZone,Bakery,200,31,"electronic city, bangalore"
709,RollsKing,Rolls,200,14,"brookefield, bangalore"
714,Sathyams Delight,North Indian,150,118,"banashankari, bangalore"
715,Olio - The Wood Fired Pizzeria,Pizza,300,32,"kadubeesanahalli, bangalore"
724,Amma's Pastries,Bakery,50,1230,"varthur main road, whitefield, bangalore"
726,Amma's Pastries,Bakery,150,1230,"varthur main road, whitefield, bangalore"
740,Poha Point,Maharashtrian,100,1538,"koramangala 6th block, bangalore"
741,Anna Kuteera,South Indian,250,10300,"banashankari, bangalore"
758,Jai Maruthi 99 Variety Dosa & Pav Bhaji Corner,South Indian,150,3774,"electronic city, bangalore"
