,Restaurant,Cusines_all,price_for_one,Rating,delivery_review_number,location,Longitude,Latitude
0,Itminaan Matka Biryani - Slow Cooked,Biryani,250,4.0,64,Ulsoor,77.6246697,12.9778793
1,Itminaan Matka Biryani - Slow Cooked,Biryani,250,3.8,62,City Market,77.57627054,12.965718
2,Itminaan Matka Biryani - Slow Cooked,Biryani,250,4.1,601,Bannerghatta Road,77.6041899,12.9521804
3,Itminaan Matka Biryani - Slow Cooked,Biryani,250,3.8,511,Old Airport Road,77.6663946,12.9583828
4,Itminaan Matka Biryani - Slow Cooked,Biryani,250,3.6,502,Koramangala 6th Block,77.6238477,12.9390255
5,Itminaan Matka Biryani - Slow Cooked,Biryani,250,3.8,523,Rajajinagar,77.554883,12.9882338
6,Itminaan Matka Biryani - Slow Cooked,Biryani,250,3.8,589,Yeshwantpur,77.5529215,13.02383
7,Itminaan Matka Biryani - Slow Cooked,Biryani,250,3.9,181,Whitefield,77.7497448,12.9696365
8,Itminaan Matka Biryani - Slow Cooked,Biryani,250,4.1,567,Indiranagar,77.6404672,12.9732913
9,Itminaan Matka Biryani - Slow Cooked,Biryani,250,3.7,543,Marathahalli,77.6984163,12.9552572
10,Itminaan Matka Biryani - Slow Cooked,Biryani,250,4.4,410,BTM,77.60456543,12.91127585
11,Itminaan Matka Biryani - Slow Cooked,Biryani,250,4.3,364,HSR,77.6398674,12.9092342
12,Itminaan Matka Biryani - Slow Cooked,Biryani,250,3.7,362,Kammanahalli,77.6377094,13.0093455
13,Itminaan Matka Biryani - Slow Cooked,Biryani,250,3.7,551,Banashankari,77.59445195,12.96528325
14,Itminaan Matka Biryani - Slow Cooked,Biryani,250,4.0,77,Jayanagar,77.5824229,12.9292731
15,Itminaan Matka Biryani - Slow Cooked,Biryani,250,4.0,342,Bellandur,77.6782471,12.93103185
16,Itminaan Matka Biryani - Slow Cooked,Biryani,350,3.9,5,Electronic City,77.64825296,12.8487599
17,Itminaan Matka Biryani - Slow Cooked,Biryani,350,4.3,76,Seshadripuram,77.5753419,12.9931876
18,Itminaan Matka Biryani - Slow Cooked,Biryani,350,3.9,7,Shanti Nagar,77.5979099,12.9575547
19,Chicking,Fast Food,200,3.7,622,Rajajinagar,77.554883,12.9882338
20,Chicking,Fast Food,200,3.7,5965,Electronic City,77.64825296,12.8487599
21,Chicking,Fast Food,200,3.8,2959,Banashankari,77.59445195,12.96528325
22,Chicking,Fast Food,200,3.8,6831,Whitefield,77.7497448,12.9696365
23,Chicking,Fast Food,200,3.6,2210,Sarjapur Road,77.6653284,12.920441
24,Chicking,Fast Food,200,3.8,2927,JP Nagar,77.5782713,12.9072515
25,Chicking,Fast Food,200,3.7,4967,Kalyan Nagar,77.6403368,13.0221416
26,Chicking,Fast Food,200,3.8,1,Rajajinagar,77.554883,12.9882338
27,Chicking,Fast Food,200,3.9,8925,HSR,77.6398674,12.9092342
28,Chicking,Fast Food,200,3.8,3761,New BEL Road,77.564105,13.0393922
29,Ludos Pizza,Pizza,300,4.0,152,Marathahalli,77.6984163,12.9552572
30,Ludos Pizza,Pizza,300,4.0,4359,BTM,77.60456543,12.91127585
31,Ludos Pizza,Pizza,300,3.4,152,JP Nagar,77.5782713,12.9072515
32,Ludos Pizza,Pizza,300,3.8,1,Bommasandra,77.6916113,12.8162443
33,Ludos Pizza,Pizza,300,3.9,209,Koramangala 6th Block,77.6238477,12.9390255
34,Ludos Pizza,Pizza,300,3.9,333,ITPL Main Road,77.7272748,12.9805104
35,Ludos Pizza,Pizza,300,4.0,836,Banaswadi,77.6518539,13.0141618
36,Ludos Pizza,Pizza,300,3.5,18,Sarjapur Road,77.6653284,12.920441
37,Ludos Pizza,Pizza,300,4.2,564,Jeevan Bhima Nagar,77.6568367,12.9678074
38,Ludos Pizza,Pizza,300,3.9,3448,HSR,77.6398674,12.9092342
39,Auntie Fung's,Asian,300,4.0,1491,Indiranagar,77.6404672,12.9732913
