,Restaurant,Cusines_all,price_for_one,location
0,100% EGG.Com,Fast Food,100.0,New BEL Road
1,1522 - The Pub, Beverages,720.0,Malleshwaram
2,1522 - The Pub, Beverages,720.0,Residency Road
3,1522 - Th
e Pub, Beverages,720.0,New BEL Road
4,1522 - The Pub, Beverages,720.0,JP Nagar
5,1522 - The Pub, Beverages,720.0,Rajarajeshwari Nagar
6,1522 - The Pub, Chinese,720.0,Malleshwaram
7,1522 - The Pub, Chinese,720.0,Residency Road
8,1522 - The Pub, Chinese,720.0,New BEL Road
9,1522 - The Pub, Chinese,720.0,JP Nagar
10,1522 - The Pub, Chinese,720.0,Rajarajeshwari Nagar
11,1522 - The Pub, Continental,720.0,Malleshwaram
12,1522 - The Pub, Continental,720.0,Residency Road
13,1522 - The Pub, Continental,720.0,New BEL Road
14,1522 - The Pub, Continental,720.0,JP Nagar
15,1522 - The Pub, Continental,720.0,Rajarajeshwari Nagar
16,1522 - The Pub, Finger Food,720.0,Malleshwaram
17,1522 - The Pub, Finger Food,720.0,Residency Road
18,1522 - The Pub, Finger Food,720.0,New BEL Road
19,1522 - The Pub, Finger Food,720.0,JP Nagar
20,1522 - The Pub, Finger Food,720.0,Rajarajeshwari Nagar
21,1522 - The Pub, Mughlai,720.0,Malleshwaram
22,1522 - The Pub, Mughlai,720.0,Residency Road
23,1522 - The Pub, Mughlai,720.0,New BEL Road
24,1522 - The Pub, Mughlai,720.0,JP Nagar
25,1522 - The Pub, Mughlai,720.0,Rajarajeshwari Nagar
26,1522 - The Pub, North Indian,720.0,Malleshwaram
27,1522 - The Pub, North Indian,720.0,Residency Road
28,1522 - The Pub, North Indian,720.0,New BEL Road
29,1522 - The Pub, North Indian,720.0,JP Nagar
30,1522 - The Pub, North Indian,720.0,Rajarajeshwari Nagar
31,1522 - The Pub, Salad,720.0,Malleshwaram
32,1522 - The Pub, Salad,720.0,Residency Road
33,1522 - The Pub, Salad,720.0,New BEL Road
34,1522 - The Pub, Salad,720.0,JP Nagar
35,1522 - The Pub, Salad,720.0,Rajarajeshwari Nagar
36,1522 - The Pub, Seafood,720.0,Malleshwaram
37,1522 - The Pub, Seafood,720.0,Residency Road
38,1522 - The Pub, Seafood,720.0,New BEL Road
39,1522 - The Pub, Seafood,720.0,JP Nagar
40,1522 - The Pub, Seafood,720.0,Rajarajeshwari Nagar
41,1522 - The Pub, South Indian,720.0,Malleshwaram
42,1522 - The Pub, South Indian,720.0,Residency Road
43,1522 - The Pub, South Indian,720.0,New BEL Road
44,1522 - The Pub, South Indian,720.0,JP Nagar
45,1522 - The Pub, South Indian,720.0,Rajarajeshwari Nagar
46,1522 - The Pub,Bar Food,720.0,Malleshwaram
47,1522 - The Pub,Bar Food,720.0,Residency Road
48,1522 - The Pub,Bar Food,720.0,New BEL Road
49,1522 - The Pub,Bar Food,720.0,JP Nagar
