,Restaurant,price_for_one
0,3 Mangos,1.43000143000143e+19
1,99 Varieties Dosa & Pav Bhaji,25025025025.0
2,A Tiny Kitchen,4.1708375041708376e+16
3,Abees Mess,2.86000286000286e+19
4,Abhiruchi Hotel,2.7805583361138914e+25
5,Afghani Tandoori Hub,1.82000182000182e+31
6,Agarwal Food Service,1.43000143000143e+19
7,Al Taj,1.365001365001365e+31
8,Amazing Kati Rolls 'N' More,2.145002145002145e+19
9,Ambur Hot Dum Biryani,5.364294646433935e+81
10,Amontron,40040040040040.0
11,Amul Ice Cream Parlour,1.2512512512512512e+22
12,Andhra Bhojanam,3.575003575003575e+19
13,Andra Hot & Spicy Biryani's,3.575003575003575e+19
14,Anika Tiffin,3.33667000333667e+16
15,Awesome Foods,30030030030030.0
16,Ayurveda Cafe,37537537537.5
17,BOX2EAT,5.005005005005005e+16
18,BTC - Bathinda Thali Company,1.8768768768768769e+22
19,Banashankari Donne Biryani,40040040040040.0
20,Bansuri Sweets,1.1122233344455566e+25
21,Bathinda Junction,5.005005005005005e+22
22,Bengali Babu Sweets,84175084175.0
23,Bengali Fun Foods,3.932503932503932e+19
24,Beyond The Crust - BTC,2.86000286000286e+19
25,Biryani Crafts,3.575003575003575e+19
26,Biryani Pot,1.1372738645465918e+64
27,Biryani Square,30030030030030.0
28,Bist Dhaba,20020020020020.0
29,Bombay 99 Variety Dosa And Juice,2.5025025025025024e+16
30,Bombay Pav Bhaji And Tawa Pulao,50050050050050.0
31,Bon Viveur Cakes & Cafe,2.8153153153153154e+22
32,Brahmins Chats,12626262.5
33,Brew Cafe,1.5925015925015922e+31
34,Brothers Burger,3.1281281281281283e+22
35,Burger And Pizzeria,40040040040040.0
36,Burger Fans,1.43000143000143e+19
37,Burger In Moon,2.5025025025025024e+16
38,Burger Twist,2.5025025025025024e+16
39,Burmuda Biryani,1.2512512512512512e+22
40,C. K. Mega Hot Food,3.33667000333667e+16
41,Cake Dies,75075075075.0
42,Calicut Cafe Restaurant,1.82000182000182e+31
43,Call A Cake,60060060060060.0
44,Cane Hut,4.552277279550007e+63
45,Captain Olive,37537537537.5
46,Cardamom- Ghar Ka Swad,1.82000182000182e+31
47,Castle Restaurant,5.005005005005005e+16
48,Chakna,1.2512512512512512e+22
49,Charminar Biryani House,2.5025025025025024e+16
